aab	ab
aabi	abi
aadam	adam
aahana	hana
aai	ai
aaidah	idah
aaisyah	aisyah
aaj	aj
aajith	ajith
aakaash	akash
aalam	alam
aalamin	alamin
aalan	alan
aali	ali
aalok	lok
aalow	low
aalwin	lwin
aami	ami
aamily	emily
aamin	amin
aamira	mira
aamy	amy
aana	ana
aanand	anand
aanandaa	ananda
aanandh	anand
aananthi	ananth
aanath	nath
aandy	andy
aang	ang
aani	ani
aanisah	anisa
aann	ann
aanna	anna
aapandi	pandi
aapon	apon
aarasan	arasan
aaravi	ravi
aaravin	aravind
aaravinth	aravind
aari	ari
aariel	ariel
aarif	arif
aarish	harish
aariya	riya
aarjun	arjun
aarman	arman
aarom	aaron
aarone	aaron
aaronn	aaron
aaroon	aaron
aaroyn	aaron
aarron	aaron
aarul	arul
aarun	arun
aaryan	ryan
aasay	say
aasekar	sekar
aash	ash
aashraf	ashraf
aashraful	ashraful
aashu	shu
aasim	sim
aasimbu	simbu
aatham	tham
aathar	thar
aaung	aung
aayar	yar
aayu	ayu
aayyappan	ayyappan
aaziz	aziz
aazman	azman
ababa	baba
abadul	abdul
abadulla	abdullah
abala	bala
abalan	balan
abaskaran	baskaran
abban	ban
abbay	bay
abbdul	abdul
abbu	abu
abda	abd
abdallah	abdullah
abddul	abdul
abddula	abdul
abde	abd
abdee	abd
abdellah	abdullah
abdh	abd
abdhi	abd
abdhul	abdul
abdhulla	abdullah
abdhullah	abdullah
abdilah	abdullah
abdl	abdul
abdlah	abdullah
abdllah	abdullah
abdolah	abdullah
abdollah	abdullah
abdoul	abdul
abdual	abdul
abdula	abdul
abdulah	abdul
abdull	abdul
abdulla	abdul
abdullaha	abdullah
abdullh	abdul
abdullha	abdul
abdulloh	abdul
abdurr	abdul
abdush	abdus
abdy	abd
abedur	abdur
abelinde	belinda
aben	ben
abeng	beng
abib	habib
abidh	abir
abidur	abdur
abigel	abigail
abii	abi
abijay	vijay
abimal	vimal
abirr	abir
aboh	boh
aboon	boon
aboss	boss
aboul	abul
abrahem	abraham
abrahim	ibrahim
abrina	sabrina
abryan	bryan
abudul	abdul
abue	abu
abull	abul
abunda	bunda
abuu	abu
abuy	abu
acat	cat
aceline	adeline
achai	chai
achan	chan
achang	chang
